Date,AGG,BNDX,DBC,EFA,GLD,HYG,IGF,NVDA,PSP,SPY,TLT,VWO
2014-01-02,82.525146484375,38.653377532958984,23.280611038208008,49.179954528808594,118.0,54.1993408203125,28.651430130004883,3.740546703338623,33.269744873046875,152.19622802734375,79.24868774414062,29.68113899230957
2014-01-03,82.5561752319336,38.62224197387695,23.133319854736328,49.2321891784668,119.29000091552734,54.18185043334961,28.66634750366211,3.6957359313964844,33.46528625488281,152.17132568359375,79.24868774414062,29.643762588500977
2014-01-06,82.66464233398438,38.71567916870117,23.160938262939453,49.172489166259766,119.5,54.29838180541992,28.576845169067383,3.7452642917633057,33.63289260864258,151.73037719726562,79.58222961425781,29.359657287597656
2014-01-07,82.703369140625,38.809104919433594,23.14252471923828,49.448570251464844,118.81999969482422,54.29838180541992,28.740942001342773,3.8065836429595947,33.60496139526367,152.66221618652344,79.78385925292969,29.479270935058594
2014-01-08,82.45542907714844,38.71567916870117,22.921594619750977,49.43363952636719,118.12000274658203,54.26341247558594,28.6141300201416,3.858470916748047,33.49322509765625,152.6954803466797,79.56668853759766,29.42694854736328
2014-01-09,82.5716552734375,38.74680709838867,22.73748779296875,49.39632797241211,118.45999908447266,54.3449821472168,28.539535522460938,3.7146031856536865,33.63289260864258,152.79531860351562,80.03206634521484,29.240034103393555
2014-01-10,82.9901123046875,38.84803771972656,22.88477325439453,49.85150146484375,120.26000213623047,54.50809097290039,28.845373153686523,3.7098865509033203,33.9401741027832,153.21131896972656,80.9861831665039,29.80824089050293
2014-01-13,83.06756591796875,38.87919235229492,22.875568389892578,49.41872024536133,121.0199966430664,54.44984436035156,28.70365333557129,3.62262225151062,33.660823822021484,151.17286682128906,81.38951110839844,29.434419631958008
2014-01-14,82.9435806274414,38.86362075805664,22.875568389892578,49.8141975402832,119.88999938964844,54.5313835144043,28.87521743774414,3.7358298301696777,33.9401741027832,152.82029724121094,81.01715087890625,29.763370513916016
2014-01-15,82.8739013671875,38.84803771972656,22.940006256103516,50.02311706542969,119.66000366210938,54.64207458496094,28.845373153686523,3.7759249210357666,34.02397155761719,153.64401245117188,80.93183898925781,29.755897521972656
2014-01-16,83.06756591796875,38.94927978515625,22.90318489074707,50.00074005126953,119.79000091552734,54.61876678466797,28.905046463012695,3.7877166271209717,33.96810531616211,153.44432067871094,81.47484588623047,29.5914249420166
2014-01-17,83.1063461303711,38.98041915893555,22.93079948425293,49.85150146484375,120.93000030517578,54.63043212890625,28.86029052734375,3.771207094192505,33.772560119628906,152.79531860351562,81.8160629272461,29.486757278442383
2014-01-21,83.14505767822266,38.98821258544922,22.986034393310547,50.090267181396484,119.69999694824219,54.70032501220703,29.06916046142578,3.78535795211792,34.10778045654297,153.2445831298828,81.87814331054688,29.39703369140625
2014-01-22,82.96682739257812,38.9259147644043,23.096500396728516,50.090267181396484,119.19000244140625,54.61876678466797,29.106454849243164,3.780641555786133,34.10778045654297,153.34446716308594,81.67643737792969,29.770851135253906
2014-01-23,83.183837890625,39.01934814453125,23.078088760375977,49.75449752807617,121.79000091552734,54.54885482788086,29.009477615356445,3.766491174697876,33.91223907470703,152.08804321289062,82.83219909667969,29.09050941467285
2014-01-24,83.36202239990234,39.09721374511719,23.087291717529297,48.38900375366211,122.29000091552734,54.187660217285156,28.49479103088379,3.669793128967285,33.185951232910156,148.8431396484375,83.36736297607422,28.38024139404297
2014-01-27,83.183837890625,39.0349235534668,22.93079948425293,48.165157318115234,120.95999908447266,54.170204162597656,28.49479103088379,3.6462080478668213,32.711055755615234,148.1109619140625,82.78567504882812,28.193347930908203
2014-01-28,83.32328796386719,39.06609344482422,23.04126739501953,48.5830078125,120.94999694824219,54.409053802490234,28.599212646484375,3.6815848350524902,33.185951232910156,148.99288940429688,82.98733520507812,28.38024139404297
2014-01-29,83.5712661743164,39.105010986328125,23.022855758666992,48.038307189941406,122.47000122070312,54.245941162109375,28.300838470458984,3.6462080478668213,32.82279586791992,147.56179809570312,83.6698989868164,27.879335403442383
2014-01-30,83.58676147460938,39.13614273071289,22.93079948425293,48.284549713134766,119.7699966430664,54.339134216308594,28.718564987182617,3.707528591156006,33.15800094604492,149.12603759765625,83.4294662475586,28.17091941833496
2014-01-31,83.74174499511719,39.190677642822266,22.90318489074707,47.4637565612793,120.08999633789062,54.32167434692383,28.66634750366211,3.7028114795684814,32.43171310424805,148.25244140625,83.9879379272461,28.163434982299805
2014-02-03,84.02589416503906,39.24445343017578,22.90318489074707,46.49374008178711,121.31999969482422,54.158931732177734,28.338138580322266,3.65328311920166,31.789228439331055,144.9159698486328,85.01129913330078,27.415809631347656
2014-02-04,83.82403564453125,39.20547103881836,23.078088760375977,47.030982971191406,120.98999786376953,54.223304748535156,28.49479103088379,3.6745097637176514,32.152366638183594,145.9309844970703,84.10926055908203,28.051294326782227
2014-02-05,83.61441040039062,39.20547103881836,23.124116897583008,47.127986907958984,121.29000091552734,54.223304748535156,28.36797523498535,3.6414906978607178,32.12443923950195,145.7480010986328,83.33160400390625,27.954092025756836
2014-02-06,83.5755844116211,39.150917053222656,23.216169357299805,47.96369934082031,121.23999786376953,54.41648483276367,28.755859375,3.6886603832244873,32.43171310424805,147.66993713378906,82.97386169433594,28.507352828979492
2014-02-07,83.70756530761719,39.21327590942383,23.483129501342773,48.59048080444336,122.16999816894531,54.691680908203125,29.084077835083008,3.7429051399230957,32.90660095214844,149.50045776367188,83.04386901855469,28.61949348449707
