,Date,Pure SPX Portfolio Value,Pure SPX Daily Return,Rebalanced 60/40 Portfolio Value,Rebalanced 60/40 Daily Return,Rebalanced Equal Weighted SAA Portfolio Value,Rebalanced Equal Weighted SAA Daily Return,Rebalanced SAA Portfolio Value,Rebalanced SAA Daily Return,Rebalanced Ray Dalio Portfolio Value,Rebalanced Ray Dalio Portfolio Daily Return
0,2001-05-31,88.90827793943204,0.006588703561474452,98.02057491314827,0.006351048492921896,107.52018698103824,0.0016263250662207351,131.54518737625835,0.0011685547238402538,100.0,
1,2001-06-01,89.26794719731022,0.004045396741608309,98.34567432145343,0.0033166445778676223,107.7746651616826,0.002366794439161879,132.16131663196614,0.004683784089686727,100.10060975609755,0.001006097560975583
2,2001-06-04,89.74750620781444,0.005372129925248936,98.7407394233793,0.004017107052767255,108.06024234326577,0.0026497617149146002,132.79532589074404,0.004797237761662521,100.1633275261324,0.000626547332605254
3,2001-06-05,90.96986969989149,0.013620027382672983,99.68269111811124,0.009539645947890474,108.32228882044154,0.002425003604409337,133.15347992214896,0.0026970379341482165,100.39329268292683,0.002295901728448735
4,2001-06-06,89.97747267281602,-0.01090907385433637,99.0397180170982,-0.006450198061478951,108.89272944467866,0.005266142642006866,133.8922903647191,0.005548562778848076,100.26655052264809,-0.0012624564539289729
5,2001-06-07,90.49415057470269,0.005742302895808793,99.30210145581803,0.002649274896709075,108.96467503796922,0.0006607015331276944,133.9466187216578,0.00040576165207673043,100.33841463414635,0.0007167306656472583
6,2001-06-08,89.60372383544797,-0.009839605472838575,98.6243520562657,-0.006825126453682051,108.51294407360913,-0.004145664310040598,133.91033325793592,-0.0002708949585155107,100.20775261324042,-0.001302213328587598
7,2001-06-11,88.81996057717728,-0.008746994262314511,98.2268074512068,-0.004030897002315514,108.37873178058234,-0.0012368321048938924,134.67230499089567,0.0056901638164998936,100.05226480836237,-0.0015516544461202653
8,2001-06-12,88.92918398170495,0.0012297168769035416,98.39869258786348,0.0017498801102953099,107.94672205475746,-0.003986111654263547,134.75127301916194,0.0005863716988552259,100.06010452961672,7.835625979457639e-05
9,2001-06-13,87.89284160046407,-0.011653568995461439,97.7095252024769,-0.007003826649131573,109.36193826573617,0.013110321314442785,137.48048939649834,0.020253733535773755,99.92552264808363,-0.0013450104031548227
