Dates,SPX Index,LBUSTRUU Index
5/2/2001,2100.72,753.21
5/3/2001,2068.25,756.35
5/4/2001,2099.63,757.44
5/7/2001,2094.3,757.25
5/8/2001,2090.47,756.83
5/9/2001,2080.9,758.62
5/10/2001,2080.59,754.98
5/11/2001,2064.27,747.83
5/14/2001,2070.08,750.68
5/15/2001,2071,749.77
5/16/2001,2133.12,751.33
5/17/2001,2139.22,752.29
5/18/2001,2145.68,753.07
5/21/2001,2181.95,753.53
5/22/2001,2175.97,753.51
5/23/2001,2140.71,753.78
5/24/2001,2147.93,750.5
5/25/2001,2121.37,750.75
5/28/2001,#N/A,#N/A
5/29/2001,2104.19,750.83
5/30/2001,2070.21,751.06
5/31/2001,2083.85,755.56
6/1/2001,2092.28,757.24
6/4/2001,2103.52,758.74
6/5/2001,2132.17,761.31
6/6/2001,2108.91,761.57
6/7/2001,2121.02,760.04
6/8/2001,2100.15,758.33
6/11/2001,2081.78,760.66
6/12/2001,2084.34,762.58
6/13/2001,2060.05,762.51
6/14/2001,2022.29,764.08
6/15/2001,2012.71,763.17
6/18/2001,2002.43,762.86
6/19/2001,2009.66,763.08
6/20/2001,2028.12,763.99
6/21/2001,2052.35,764.81
6/22/2001,2032.01,767.96
6/25/2001,2020.27,767.82
6/26/2001,2017.07,764.99
6/27/2001,2007.43,764.13
6/28/2001,2033.78,760.56
6/29/2001,2030.68,758.79
7/2/2001,2052.07,761.61
7/3/2001,2048.49,760.25
7/4/2001,#N/A,#N/A
7/5/2001,2022.43,759.45
7/6/2001,1972.99,761.49
7/9/2001,1987.28,762.86
7/10/2001,1957.33,765
7/11/2001,1955.14,764.68
7/12/2001,2003.85,766.27
7/13/2001,2016.99,766.17
7/16/2001,1993.96,768.25
7/17/2001,2014.84,768.64
7/18/2001,2003.27,772.77
7/19/2001,2016.01,772.59
7/20/2001,2008.74,772.54
7/23/2001,1974.23,773.42
7/24/2001,1940.5,774.22
7/25/2001,1973.31,771.97
7/26/2001,1994.99,772.87
7/27/2001,2000.17,775.15
7/30/2001,1997.98,776.46
7/31/2001,2009.69,777.99
8/1/2001,2018.13,777.09
