,Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index,SPX Index Daily Returns,LBUSTRUU Index Daily Returns,SPGSCI Index Daily Returns,RMSG Index Daily Returns,LP01TREU Index Daily Returns,TWSE Index Daily Returns,IBOV Index Daily Returns,SASEIDX Index Daily Returns,NKY Index Daily Returns,MXDK Index Daily Returns,SMI Index Daily Returns,VNINDEX Index Daily Returns
2460,2010-01-01,2184.17,1271.75,106.39,289.15,98.1,1884.91,1970.07,277.93,379.61,3217.59,764.83,311.37,,,,,,,,,,,,
2461,2010-01-04,2220.92,1273.59,111.63,287.04,99.17,1904.86,2041.07,282.91,382.92,3343.61,782.26,330.01,0.016825613390899052,0.001446825240809746,0.04925274931854484,-0.00729725056199193,0.01090723751274214,0.01058405971637888,0.03603932855177727,0.017918180836901554,0.008719475250915432,0.03916595961573721,0.02278937803171943,0.05986446992324246
2462,2010-01-05,2228.17,1279.64,111.84,287.74,100.31,1897.42,2034.12,285.23,390.12,3303.32,772.69,342.76,0.00326441294598645,0.004750351368965067,0.0018812147272240232,0.0024386845039019445,0.011495411918927001,-0.00390579885135911,-0.0034050767489601785,0.008200487787635602,0.01880288310874323,-0.01204985031148964,-0.012233784163832917,0.03863519287294315
2463,2010-01-06,2230.46,1278.4,115.54,286.89,101.82,1926.33,2046.64,286.58,387.39,3323.29,773.36,344.37,0.0010277492291881352,-0.0009690225375886818,0.033082975679542326,-0.0029540557447697013,0.015053334662546103,0.015236479008337467,0.006154995772127636,0.004733022473091708,-0.006997846816364284,0.006045433079447271,0.0008671006483842447,0.00469716419652233
2464,2010-01-07,2239.94,1277.68,113.46,291.47,103.16,1904.07,2025.07,286.58,381.69,3350.89,768.93,343.49,0.004250244344216059,-0.0005632040050063125,-0.018002423403150503,0.015964306877200407,0.013160479277155801,-0.01155565245830148,-0.010539225266778751,0.0,-0.014713854255401504,0.008305023034402614,-0.005728250749974184,-0.002555391003862151
2465,2010-01-08,2246.66,1278.92,113.71,287.87,104.33,1914.46,2035.56,286.58,389.9,3386.97,783.03,333.22,0.003000080359295332,0.0009705090476488376,0.002203419707385912,-0.01235118537070723,0.011341605273361699,0.00545673215795639,0.00518006784950642,0.0,0.021509602033063402,0.01076728869046728,0.018337169833404943,-0.029898978136190246
2466,2010-01-11,2250.76,1279.54,113.06,290.47,105.54,1931.78,2032.12,288.47,389.9,3487.31,787.75,328.51,0.0018249312312501598,0.00048478403653073876,-0.005716295840295427,0.009031854656615934,0.011597814626665537,0.009046937517628972,-0.0016899526420248723,0.006595017098192546,0.0,0.02962529930882174,0.006027866109855395,-0.014134805833983632
2467,2010-01-12,2228.7,1285.03,109.11,283.81,106.05,1925.7,2009.75,286.91,403.29,3455.76,780.62,314.46,-0.009801133839236753,0.004290604435969181,-0.03493720148593671,-0.022928357489585882,0.004832291074474027,-0.0031473563242190306,-0.011008208176682466,-0.00540784136998651,0.034342139010002715,-0.009047087870020065,-0.009051094890510925,-0.04276886548354697
2468,2010-01-13,2248.33,1281.91,107.95,292.06,105.87,1899.14,2010.37,286.73,393.58,3450.69,781.28,322.95,0.00880782518957246,-0.002427958880337311,-0.01063147282558885,0.0290687431732497,-0.001697312588401667,-0.013792387183881205,0.0003084960816022164,-0.0006273744379771129,-0.02407696694686212,-0.0014671157719287065,0.000845481796520664,0.02699866437702725
2469,2010-01-14,2254.07,1285.55,107.61,290.96,106.15,1924.16,1981.0,286.73,403.17,3491.77,790.64,326.2,0.0025530060089045126,0.00283951291432305,-0.0031496062992126816,-0.0037663493802644332,0.002644752998961053,0.013174384194951427,-0.014609251033391835,0.0,0.024366075511967233,0.011904865403730813,0.011980339954945851,0.01006347731847046
2470,2010-01-15,2228.68,1288.53,104.72,287.99,106.59,1937.93,1946.59,286.73,408.11,3439.69,777.79,320.45,-0.011264068995195498,0.0023180739761192726,-0.026856240126382325,-0.010207588671982348,0.004145077720207224,0.007156369532679285,-0.017370015143866824,0.0,0.012252895800778818,-0.014915071725800977,-0.016252656076090277,-0.01762722256284488
2471,2010-01-18,2228.68,1288.53,104.72,287.99,106.6,1934.43,1964.37,295.73,402.74,3452.75,783.39,305.17,0.0,0.0,0.0,0.0,9.381743127856446e-05,-0.00180605078614815,0.009133921370190867,0.03138841418756311,-0.01315821714733778,0.0037968537862422824,0.007199886858920923,-0.04768294585738797
2472,2010-01-19,2257.79,1286.94,105.74,297.03,107.0,1911.62,1975.72,293.25,396.64,3437.65,780.02,312.25,0.013061543155589828,-0.0012339642848827603,0.009740259740259605,0.031389978818708864,0.0037523452157599557,-0.011791587185889463,0.005777933892291198,-0.008386027795624473,-0.015146248199831236,-0.004373325610021017,-0.004301816464340913,0.023200183504276328
2473,2010-01-20,2233.16,1289.38,102.69,291.45,107.18,1898.49,1904.38,294.06,394.56,3358.24,764.2,307.21,-0.01090889763884162,0.0018959702861049976,-0.02884433516171736,-0.018785981214018754,0.0016822429906542258,-0.006868519894121183,-0.03610835543498059,0.0027621483375959155,-0.005244050020169366,-0.023100082905473274,-0.02028153124278853,-0.016140912730184254
2474,2010-01-21,2189.01,1292.28,100.01,279.82,106.92,1874.75,1835.44,294.06,404.97,3291.01,763.53,298.06,-0.019770191119310554,0.002249142998960618,-0.02609796474827142,-0.03990392863269854,-0.002425825713752605,-0.012504674767841784,-0.03620075825202951,0.0,0.026383819951338205,-0.02001941493163073,-0.0008767338393091961,-0.029784186712672023
